x,y,t,phi,N,u,vx,vy
425.6875,1049.0249999999999,24.0,0.35887965527854726,12.0,17.40969876814133,12.271341820711603,-5.563899056211312
29.3125,1105.675,24.0,0.4025854108956602,14.0,23.49062494708803,1.6967818497223668,17.413264686904423
85.9375,1105.675,24.0,0.34995383194829177,12.0,13.381493291466574,-1.9477201710307355,-1.133799824282633
142.5625,1105.675,24.0,0.3067042606516291,13.0,16.902664773241185,-7.640474145540872,6.437433396448754
199.1875,1105.675,24.0,0.4398276392736227,15.0,14.594909194294418,-9.963027459376452,-2.8706524899442627
255.8125,1105.675,24.0,0.3819636811326562,16.0,20.36382560032808,16.425867377129837,-4.443040330195753
312.4375,1105.675,24.0,0.400062656641604,14.0,31.110288842477985,22.974416883858957,-8.734924720665305
369.0625,1105.675,24.0,0.3468759618344106,11.0,37.32655861494226,34.65586314623769,5.492391556906775
425.6875,1105.675,24.0,0.2634656817482302,9.0,32.81230157475417,28.49124729709881,-0.1568532166741924
29.3125,29.325,25.0,0.3945829485995691,14.0,13.028596978946481,-7.279223502944696,5.917838033372067
85.9375,29.325,25.0,0.3948907356109572,17.0,8.863708078483238,1.866504408951232,3.2422326265169876
142.5625,29.325,25.0,0.3057644110275689,8.0,11.460179124149576,0.16920841867797387,-5.6207126146390705
199.1875,29.325,25.0,0.34595260080024626,14.0,22.211585236393027,2.8892419536627094,-2.9650878165025474
255.8125,29.325,25.0,0.4041243459526008,13.0,16.8895008902544,15.356299793627255,2.258978785666245
312.4375,29.325,25.0,0.35964912280701755,10.0,24.57026396729375,22.75093647593818,1.2714975693446005
369.0625,29.325,25.0,0.3468759618344106,13.0,27.36194492161908,25.28346278273488,7.6784722968977155
425.6875,29.325,25.0,0.26500461680517085,9.0,34.97379886901067,29.10508022012238,15.608436372351056
29.3125,85.975,25.0,0.4453678054786088,14.0,13.954030762905111,5.4829235521108455,8.11206529238702
85.9375,85.975,25.0,0.3594952293013235,12.0,14.024178759988606,-1.6128005263032354,3.450276381119257
142.5625,85.975,25.0,0.45144110275689225,15.0,11.7144727725233,-3.1424744918383465,-6.040627283368676
199.1875,85.975,25.0,0.3518005540166205,11.0,11.758743954523949,8.770267744501131,1.7179218385211892
255.8125,85.975,25.0,0.4789165897199138,14.0,19.845337047935807,17.628601266514057,3.4270934991807267
312.4375,85.975,25.0,0.4141604010025063,11.0,17.45671113337264,16.888634120805847,-2.6368473893460016
369.0625,85.975,25.0,0.33825792551554323,11.0,29.34024202538468,26.484944769229216,10.99719015056781
425.6875,85.975,25.0,0.3628808864265928,10.0,38.12241048290336,31.609669594166867,20.992286082244185
29.3125,142.625,25.0,0.44141604010025065,14.0,19.682197897892255,-2.8163810449022812,7.103116214320377
85.9375,142.625,25.0,0.3483709273182957,9.0,23.909500718352174,-12.428018064613573,5.776193317896432
142.5625,142.625,25.0,0.4075255102040816,12.0,13.866647135621461,-0.6686332459895515,1.7771102839711528
199.1875,142.625,25.0,0.44047619047619047,15.0,17.52519550624286,14.023935895476276,8.301844629992164
255.8125,142.625,25.0,0.5194235588972431,18.0,16.36382853706577,15.301627686563526,3.039718005590042
312.4375,142.625,25.0,0.3903061224489796,12.0,20.513965923370247,18.65041096694832,1.240082050609283
369.0625,142.625,25.0,0.3424185463659148,9.0,36.11901784975211,33.35952919899981,13.318801007901094
425.6875,142.625,25.0,0.2832080200501253,9.0,45.80353265221856,39.342432623107946,20.367020452441142
29.3125,199.27499999999998,25.0,0.4644506001846722,13.0,17.4802681232877,3.8868755467665284,8.192812950387243
85.9375,199.27499999999998,25.0,0.4444444444444444,12.0,23.225828245088092,-3.6165827491100218,-0.6139752112383423
142.5625,199.27499999999998,25.0,0.3919172932330827,11.0,20.572082621610722,-6.9652667418413134,9.050303997499368
199.1875,199.27499999999998,25.0,0.4976915974145891,18.0,13.642070358986299,6.760658609244768,1.3675224213224804
255.8125,199.27499999999998,25.0,0.4398276392736227,12.0,15.11488291994223,11.048744724047772,-3.401828337812693
312.4375,199.27499999999998,25.0,0.38972431077694236,12.0,18.59787804806232,15.603806509661837,4.294742194699226
369.0625,199.27499999999998,25.0,0.42813173284087414,13.0,31.371666444638052,27.944569420095245,10.234412221962028
425.6875,199.27499999999998,25.0,0.37488457987072943,14.0,39.40743121524201,33.611395123145996,18.946330101549467
29.3125,255.925,25.0,0.453678054786088,12.0,12.069692475791046,-3.6362263924445544,9.833055654222019
85.9375,255.925,25.0,0.42874730686365037,14.0,14.252032248439207,3.947254020908578,-2.731231190292815
142.5625,255.925,25.0,0.44705513784461154,14.0,20.134654890032955,3.1698381815169485,-3.809159870931764
199.1875,255.925,25.0,0.49184364419821486,14.0,23.623806382121337,19.00239145778355,-3.257658325499526
255.8125,255.925,25.0,0.47399199753770394,13.0,12.221383984652572,4.218171753926957,-6.55385855567018
312.4375,255.925,25.0,0.3609022556390977,11.0,16.45321089025374,10.986583731133699,11.202570664955164
369.0625,255.925,25.0,0.32994767620806403,11.0,31.572023422016116,28.49372583180153,6.317197323486363
425.6875,255.925,25.0,0.3721144967682364,12.0,40.41665274803564,29.66505302522785,23.193774679606324
29.3125,312.575,25.0,0.5056390977443609,17.0,8.930382916799218,-0.6940117138666273,2.4190332655986486
85.9375,312.575,25.0,0.41040100250626566,12.0,24.934930052793288,19.72595056732015,2.7804337210726175
142.5625,312.575,25.0,0.32716836734693877,10.0,39.41582886770846,18.472252368281506,33.176342627553225
199.1875,312.575,25.0,0.40350877192982454,14.0,31.58577238664018,25.598907387464212,4.255828180055049
255.8125,312.575,25.0,0.3906641604010025,12.0,18.2661662430346,8.848876994116393,-11.045762208378669
312.4375,312.575,25.0,0.36033163265306123,11.0,13.311017349157078,11.462186360386085,3.758018800609955
369.0625,312.575,25.0,0.3681077694235589,12.0,17.728159533172587,8.62969953925691,12.480056591137947
425.6875,312.575,25.0,0.35714285714285715,9.0,24.8761747420133,20.735699110499265,11.50593463573049
29.3125,369.225,25.0,0.4425977223761157,14.0,14.266518527410868,1.7292716935234922,-4.792108755799327
85.9375,369.225,25.0,0.3921206525084641,14.0,19.115898558281316,9.055980298743341,5.65139921608733
142.5625,369.225,25.0,0.42136591478696744,14.0,28.290389085975526,5.00292444647703,14.519762852801936
199.1875,369.225,25.0,0.3708833487226839,12.0,23.172948691103613,-4.277726123382583,-0.8092021816453697
255.8125,369.225,25.0,0.36903662665435516,12.0,12.82493419738885,4.304617060473137,-8.925814494291329
312.4375,369.225,25.0,0.3493107769423559,10.0,13.532274412041795,9.785292407410136,1.6829961756613407
369.0625,369.225,25.0,0.3548784241305017,11.0,27.103548177098368,21.900404068869907,15.553430411438985
425.6875,369.225,25.0,0.3644198214835334,14.0,33.850979326631595,21.953665937094716,13.2379849507072
29.3125,425.875,25.0,0.4512157586949831,12.0,14.457419557858012,0.5745182829411496,-8.38830804127239
85.9375,425.875,25.0,0.41305016928285626,13.0,19.047822741617512,18.270583597174273,-0.8992370688213541
142.5625,425.875,25.0,0.3681077694235589,10.0,21.86884720338093,12.896847256701397,8.371448495649568
199.1875,425.875,25.0,0.3407202216066482,11.0,10.064243092299574,4.56433897376272,3.742217716780629
255.8125,425.875,25.0,0.39119729147429977,11.0,14.337466023659433,6.565558632997994,2.098016063713162
312.4375,425.875,25.0,0.3840852130325815,11.0,29.363988187704514,28.592832961503408,-3.9806456529019063
369.0625,425.875,25.0,0.322253000923361,9.0,35.3138532274436,34.70877200890716,0.35487959896954613
425.6875,425.875,25.0,0.3545706371191136,11.0,44.63285262561154,30.24948219577258,-0.15760428518223102
29.3125,482.525,25.0,0.5037593984962406,16.0,17.506863727568163,7.390717974974812,-0.6362980481567049
85.9375,482.525,25.0,0.4116541353383459,13.0,22.359364397554334,14.488753143425573,-2.1888595464189717
142.5625,482.525,25.0,0.3934948979591837,13.0,22.254880137079397,11.641773333184814,5.921115111711642
199.1875,482.525,25.0,0.3994360902255639,13.0,14.14934171614617,11.50453988948045,0.6915927848881618
255.8125,482.525,25.0,0.4257518796992481,15.0,23.713499998676465,20.261635617318802,6.428746101955013
312.4375,482.525,25.0,0.336734693877551,9.0,20.490278480434796,19.201906809375977,6.420550614432479
369.0625,482.525,25.0,0.3292606516290727,8.0,24.03826823633708,21.021311937408168,-9.262167159804324
425.6875,482.525,25.0,0.3292606516290727,9.0,43.0103282299006,37.56820999302835,-18.8993660623197
29.3125,539.175,25.0,0.4450600184672207,14.0,17.169805953854006,6.347593361986591,-0.7502330484737563
85.9375,539.175,25.0,0.43521083410280087,14.0,32.31069070207316,24.98287878413527,-16.84828422632862
142.5625,539.175,25.0,0.37781954887218044,12.0,22.788073221527668,-10.055002756989522,4.870699590265408
199.1875,539.175,25.0,0.4358264081255771,14.0,21.413789891142127,-12.3607249274702,6.399851766290483
255.8125,539.175,25.0,0.4102800861803632,13.0,25.303259702024118,22.426757804669172,8.751622988224383
312.4375,539.175,25.0,0.33521303258145363,10.0,34.55485942471783,31.106494176804894,5.467528303153308
369.0625,539.175,25.0,0.34133579562942445,9.0,26.380561506722522,25.033887545042717,0.6998657915572437
425.6875,539.175,25.0,0.3939673745767929,14.0,41.66114612434593,27.94831810555846,-10.529903107936885
29.3125,595.825,25.0,0.43459526008002464,13.0,15.150142155383413,-3.7759302193441373,-0.9495389258009095
85.9375,595.825,25.0,0.4419821483533395,13.0,17.887274693673653,3.2943467382681066,-0.2533380663307729
142.5625,595.825,25.0,0.39473684210526316,13.0,15.289709678883883,9.988967188695332,-1.4223396251646994
199.1875,595.825,25.0,0.38688827331486614,12.0,24.16533160372147,13.66086562466102,16.525513585955522
255.8125,595.825,25.0,0.42166820560172363,11.0,31.619093498301925,16.381356174767518,24.537609047333135
312.4375,595.825,25.0,0.38784461152882205,11.0,21.722773389244207,20.800670184948956,-0.7233444862679825
369.0625,595.825,25.0,0.44321329639889195,11.0,30.684736614122404,30.09750755048244,0.01291694575108725
425.6875,595.825,25.0,0.34287473068636504,12.0,30.456901645108672,27.289683060834065,-7.798274103220848
29.3125,652.4749999999999,25.0,0.46021303258145363,15.0,14.77441308388585,-4.43491878742278,10.156541684501887
85.9375,652.4749999999999,25.0,0.37406015037593987,15.0,19.962651047518857,15.156069709450682,7.928854154617085
142.5625,652.4749999999999,25.0,0.383609693877551,11.0,35.96749504506247,32.358109946495276,10.738778782212613
199.1875,652.4749999999999,25.0,0.4317042606516291,14.0,18.458598625403464,7.903930064839896,4.7098446408089805
255.8125,652.4749999999999,25.0,0.4207393483709273,15.0,20.6378649248213,18.83101967527402,2.5416559373163494
312.4375,652.4749999999999,25.0,0.35459183673469385,9.0,17.857509756608483,16.623098895922155,-0.2568935592378805
369.0625,652.4749999999999,25.0,0.34899749373433586,10.0,19.235713376124053,17.843847665724024,-3.820660254893724
425.6875,652.4749999999999,25.0,0.29699248120300753,9.0,21.15414508070083,18.45913304065689,2.0297832561106333
29.3125,709.125,25.0,0.44475223145583254,16.0,7.182943198094753,0.7964758537137613,-3.0937828642962284
85.9375,709.125,25.0,0.45060018467220686,16.0,13.444505930310049,9.230222194893976,-4.186056815403747
142.5625,709.125,25.0,0.362468671679198,12.0,36.61302946006448,18.437321628082415,-18.62642846314415
199.1875,709.125,25.0,0.34779932286857496,11.0,29.943788415548816,18.592094519032518,-10.998179195537254
255.8125,709.125,25.0,0.4059710680209295,9.0,25.32983789347259,22.348772127817774,-2.447237698617712
312.4375,709.125,25.0,0.3173558897243108,8.0,18.71583788920193,15.870825172948743,-5.179057366679682
369.0625,709.125,25.0,0.38104032009849187,13.0,14.058858321255986,11.851203386709832,-0.047533225347022014
425.6875,709.125,25.0,0.36995998768851956,12.0,20.282093425015933,14.090424785971791,14.175149944823977
29.3125,765.775,25.0,0.45429362880886426,15.0,17.01083552632326,6.640485508037825,-9.273203633938836
85.9375,765.775,25.0,0.36226531240381654,12.0,13.270508216946226,-1.7724745137852054,-0.287244707691805
142.5625,765.775,25.0,0.40225563909774437,15.0,20.147088734314362,0.069137200029821,-9.953946197005637
199.1875,765.775,25.0,0.33825792551554323,11.0,21.45423133846922,-1.0457119559898367,-13.5833589737399
255.8125,765.775,25.0,0.4662973222530009,15.0,10.869251197564848,5.078728127230353,4.001716469263498
312.4375,765.775,25.0,0.3900375939849624,10.0,26.478733575178392,20.902381452875034,3.877463304189824
369.0625,765.775,25.0,0.3961218836565097,12.0,41.68416268708041,36.25703219456428,15.536029815610561
425.6875,765.775,25.0,0.32132963988919666,10.0,40.823963552236535,37.40618248809689,14.24207698364637
29.3125,822.425,25.0,0.4317042606516291,16.0,16.767711271096182,13.369498927042057,7.94156665018428
85.9375,822.425,25.0,0.40100250626566414,17.0,10.645231291229988,3.1153592816402624,-2.404258060252176
142.5625,822.425,25.0,0.4139030612244898,14.0,18.765296718446674,-14.643120998726166,2.2101871689049446
199.1875,822.425,25.0,0.3649749373433584,11.0,26.38455851865707,-17.48379935097299,-9.171014722756823
255.8125,822.425,25.0,0.33521303258145363,10.0,24.206850101113567,16.948883538252016,3.515827461050229
312.4375,822.425,25.0,0.4406887755102041,14.0,36.71566115230035,24.7255713831161,24.85300041464681
369.0625,822.425,25.0,0.39880952380952384,11.0,35.079153220256224,27.440960138526282,20.783252078955
425.6875,822.425,25.0,0.39285714285714285,13.0,29.154367048933352,18.959576136621884,17.647157615059186
29.3125,879.075,25.0,0.44783010156971376,14.0,12.09814471469105,-2.866378839420616,5.289960601889819
85.9375,879.075,25.0,0.4025854108956602,13.0,17.55299955874383,-14.073120760524809,0.41986994719875487
142.5625,879.075,25.0,0.4649122807017544,16.0,21.467190099447997,-13.780653850209402,3.7566283672241196
199.1875,879.075,25.0,0.37303785780240073,11.0,16.94860687725362,0.3002967824279601,0.49164897935262614
255.8125,879.075,25.0,0.36718990458602646,10.0,20.72406902557715,8.829209622913698,-9.141640802579587
312.4375,879.075,25.0,0.39035087719298245,10.0,19.27255442260587,1.0339130674156003,17.088700288422935
369.0625,879.075,25.0,0.36965220067713145,12.0,20.88228328213175,1.6979200649202575,15.906393996614819
425.6875,879.075,25.0,0.34964604493690365,11.0,19.015430838062926,-5.631735570848271,13.061934268175982
29.3125,935.7249999999999,25.0,0.41920590951061865,14.0,9.28516453809718,0.00294440441889313,-2.210226419909951
85.9375,935.7249999999999,25.0,0.46537396121883656,15.0,15.378855111604931,-6.945692983334231,-2.2022800140932617
142.5625,935.7249999999999,25.0,0.46647869674185466,16.0,23.880798659933827,-21.120119003116308,4.833907721049933
199.1875,935.7249999999999,25.0,0.47122191443521083,15.0,35.63219594272339,-27.9689304571924,14.304203525735574
255.8125,935.7249999999999,25.0,0.3628808864265928,12.0,26.68961730228446,-8.054128443994047,7.089006461597549
312.4375,935.7249999999999,25.0,0.4241854636591479,11.0,26.630562506094876,22.08621417965534,-9.133593159587182
